Excipient_CID,Excipient_Smiles,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,NumAromaticRings,RingCount,FractionCSP3,HeavyAtomCount,fr_NH2,fr_NH1,fr_ester,fr_amide,fr_aldehyde,fr_ketone,fr_phenol,fr_ether,fr_epoxide,fr_halogen,fr_COO
6850749,CC1(C2CCC(C23CC1C(=CC3O)C(=O)O)C(=O)O)CO.C(CCCC(C(CCCCCO)O)O)CCCC(=O)O,586.719,2.5638,213.05,8.0,8.0,17.0,0.0,3.0,0.8333333,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
9839867,C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O.[Na+],315.234,-5.0672,155.68,4.0,6.0,11.0,0.0,0.0,0.6,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
9840857,C1=CC=C(C=C1)[Hg+].[N+](=O)([O-])[O-],339.7,0.6196,66.2,0.0,3.0,0.0,1.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9920342,CCCCCCCCC=CCCCCCCCC(=O)OCC(C1C(C(CO1)O)O)O,428.61,4.0486,96.22,3.0,6.0,18.0,0.0,1.0,0.875,30.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
9989226,[O-2].[O-2].[O-2].[Al+3].[Al+3],101.961,-1.118,85.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11046239,CCCCCCCCCCCC(=O)OCC(C1C(C(CO1)O)O)O,346.464,1.932,96.22,3.0,6.0,13.0,0.0,1.0,0.9444444,24.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
12961638,C1=CC=C2C(=C1)C(=O)OC23C4=CC(=C(C(=C4OC5=C(C(=C(C=C35)I)[O-])I)I)[O-])I.[Na+].[Na+],879.859,-1.1718,81.65,0.0,5.0,0.0,3.0,5.0,0.05,31.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0
14055602,COC1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)OC)CO)CO,370.351,-4.089,167.53,6.0,11.0,6.0,0.0,2.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
14109413,CC(=O)C1CC(=O)C2(C1(CC(=O)C3=C2C(CC4C3(CCC(C4(C)C)O)C)O)C)C,402.531,3.0144,91.67,2.0,5.0,1.0,0.0,4.0,0.7916667,29.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
15908632,CC(C)(OO)OO,108.093,0.7017,58.92,2.0,4.0,2.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
